time,tank,pred,para,eggs
4,24,0.1,metsch,0.15
5,24,0.1,metsch,0.823529412
6,24,0.1,metsch,1
7,24,0.1,metsch,1.416666667
8,24,0.1,metsch,1.05
1,27,0.5,no metsch,0
2,27,0.5,no metsch,0.916666667
3,27,0.5,no metsch,0.05
5,27,0.5,no metsch,0.428571429
6,27,0.5,no metsch,0.8
7,27,0.5,no metsch,0.3
8,27,0.5,no metsch,0
1,28,0.5,no metsch,1.833333333
2,28,0.5,no metsch,1.538461538
3,28,0.5,no metsch,0.7
5,28,0.5,no metsch,0.75
6,28,0.5,no metsch,0.65
8,28,0.5,no metsch,1.105263158
1,29,0.5,no metsch,1.727272727
2,29,0.5,no metsch,2
3,29,0.5,no metsch,0.75
5,29,0.5,no metsch,0
6,29,0.5,no metsch,0.85
7,29,0.5,no metsch,0.9
8,29,0.5,no metsch,0.5
1,30,0.1,metsch,1
2,30,0.1,metsch,0.333333333
3,30,0.1,metsch,0.6
5,30,0.1,metsch,0.5
6,30,0.1,metsch,0.722222222
7,30,0.1,metsch,1.9
8,30,0.1,metsch,0.55
1,31,0.1,metsch,0.2
2,31,0.1,metsch,0.769230769
3,31,0.1,metsch,0.4
5,31,0.1,metsch,0.9
6,31,0.1,metsch,0.95
7,31,0.1,metsch,1
8,31,0.1,metsch,2.15
1,32,0.1,metsch,0.25
3,32,0.1,metsch,0.2
5,32,0.1,metsch,0.6
6,32,0.1,metsch,0.85
7,32,0.1,metsch,0.85
8,32,0.1,metsch,0.75
1,35,0,no metsch,0.833333333
2,35,0,no metsch,0.5
3,35,0,no metsch,0.111111111
5,35,0,no metsch,0.3
6,35,0,no metsch,0.45
7,35,0,no metsch,0.7
8,35,0,no metsch,0.4
1,36,0,no metsch,0.666666667
2,36,0,no metsch,0
3,36,0,no metsch,0
5,36,0,no metsch,1.35
6,36,0,no metsch,0.75
7,36,0,no metsch,0.375
8,36,0,no metsch,0
1,37,0,no metsch,0.625
2,37,0,no metsch,0
3,37,0,no metsch,0.333333333
